année,ordre,nb,prénom,sexe
2015,46,30,Enzo,male
2015,41,31,Agathe,female
2015,30,35,Ambre,female
2015,25,38,Théo,male
2015,84,19,Apolline,female
2015,24,39,Juliette,female
2015,23,39,Chloé,female
2015,20,40,Clément,male
2015,16,44,Adam,male
2015,15,46,Emma,female
2015,10,49,Louise,female
2015,8,53,Léo,male
2015,6,56,Alice,female
2015,5,64,Raphaël,male
2015,44,31,Nathan,male
2015,79,20,Anaïs,female
2015,39,34,Martin,male
2015,85,19,Esteban,male
2015,17,44,Camille,female
2015,88,19,Mathéo,male
2015,40,34,Mila,female
2015,38,34,Manon,female
2015,37,34,Liam,male
2015,35,35,Rose,female
2015,33,35,Margaux,female
2015,32,35,Lou,female
2015,31,35,Inès,female
2015,19,40,Antoine,male
2015,18,41,Sacha,male
2015,43,31,Gabin,male
2015,14,46,Anna,female
2015,99,17,Héloïse,female
2015,13,47,Jade,female
2015,93,18,Aaron,male
2015,95,18,Gabrielle,female
2015,96,18,Oscar,male
2015,90,19,Mathis,male
2015,4,70,Paul,male
2015,9,52,Lucas,male
2015,11,48,Ethan,male
2014,83,21,Victoire,female
2014,21,41,Inès,female
2014,20,42,Tom,male
2014,16,46,Sacha,male
2014,5,61,Camille,female
2014,4,63,Raphaël,male
2014,3,68,Adam,male
2014,24,38,Lou,female
2014,99,17,Capucine,female
2014,98,17,Apolline,female
2014,93,19,Noé,male
2014,69,25,Robin,male
2014,79,22,Pauline,female
2014,77,22,Gabin,male
2014,76,22,Eden,male
2014,75,22,Alexis,male
2014,64,26,Lina,female
2014,57,28,Yanis,male
2014,56,28,Victor,male
2014,54,28,Axel,male
2014,53,29,Valentin,male
2014,52,29,Timéo,male
2014,26,37,Juliette,female
2014,25,38,Nathan,male
2014,48,30,Samuel,male
2014,29,36,Enzo,male
2014,74,23,Sofia,female
2014,100,17,Valentine,female
2014,95,18,Clara,female
2014,94,19,Pablo,male
2014,92,19,Noa,male
2014,91,19,Louna,female
2014,89,19,Ilyes,male
2014,86,20,Lisa,female
2014,82,21,Oscar,male
2014,81,21,Mathéo,male
2014,80,21,Marius,male
2014,72,23,Baptiste,male
2014,30,36,Théo,male
2014,70,24,Agathe,female
2014,63,26,Inaya,female
2014,61,26,Charlotte,female
2014,60,27,Nina,female
2014,58,27,Augustin,male
2014,51,29,Martin,male
2014,49,30,Sarah,female
2014,46,30,Lucie,female
2014,43,31,Alexandre,male
2014,34,34,Clément,male
2014,50,29,Julia,female
2014,84,20,Eliott,male
2014,45,31,Lola,female
2014,42,31,Adèle,female
2014,73,23,Charlie,male
2014,71,24,Naël,male
2014,68,25,Rayan,male
2014,67,25,Anaïs,female
2014,66,26,Thomas,male
2014,65,26,Simon,male
2014,62,26,Gaspard,male
2014,59,27,Léna,female
2014,55,28,Romane,female
2014,47,30,Rose,female
2014,41,32,Zoé,female
2014,1,78,Louis,male
2014,39,32,Léa,female
2014,38,33,Nolan,male
2014,37,33,Mila,female
2014,36,33,Eva,female
2014,33,35,Maxime,male
2014,22,41,Manon,female
2014,19,42,Antoine,male
2014,11,52,Alice,female
2014,9,58,Lucas,male
2014,8,58,Arthur,male
2014,78,22,Maxence,male
2014,44,31,Jeanne,female
2014,85,20,Léonie,female
2014,14,48,Hugo,male
2014,87,20,Mathilde,female
2014,40,32,Léon,male
2014,35,34,Noah,male
2014,32,35,Margaux,female
2014,31,35,Maël,male
2014,28,37,Mathis,male
2014,23,40,Ethan,male
2014,18,43,Chloé,female
2014,17,43,Anna,female
2014,15,48,Léo,male
2014,27,37,Liam,male
2014,13,49,Jade,female
2014,10,55,Paul,male
2014,7,60,Louise,female
2014,88,19,Elsa,female
2014,6,60,Emma,female
2014,2,73,Gabriel,male
2014,97,17,Aaron,male
2014,96,18,Clémence,female
2014,90,19,Lilou,female
2014,12,50,Jules,male
2013,13,50,Raphaël,male
2013,7,63,Hugo,male
2013,10,53,Léo,male
2013,12,50,Adam,male
2013,24,40,Clément,male
2013,16,46,Emma,female
2013,17,46,Manon,female
2013,21,42,Enzo,male
2013,22,41,Nathan,male
2013,4,67,Louis,male
2013,5,65,Arthur,male
2013,75,20,Elise,female
2013,1,76,Camille,female
2013,99,16,Tiago,male
2013,96,16,Kylian,male
2013,94,16,Aaron,male
2013,92,17,Maëlys,female
2013,90,18,Robin,male
2013,88,18,Lilou,female
2013,84,19,Esteban,male
2013,78,20,Nino,male
2013,76,20,Julia,female
2013,30,37,Nolan,male
2013,25,40,Léa,female
2013,60,25,Thomas,male
2013,31,37,Timéo,male
2013,32,34,Axel,male
2013,72,21,Capucine,female
2013,98,16,Marie,female
2013,97,16,Lenny,male
2013,95,16,Inaya,female
2013,91,17,Lily,female
2013,86,18,Justine,female
2013,85,19,Louna,female
2013,82,19,Anaïs,female
2013,79,20,Rayan,male
2013,74,20,Eden,male
2013,68,23,Romane,female
2013,64,23,Ambre,female
2013,62,24,Alexandre,male
2013,53,26,Oscar,male
2013,52,26,Gaspard,male
2013,50,27,Charlie,male
2013,48,29,Maxence,male
2013,47,30,Yanis,male
2013,41,31,Lola,female
2013,39,32,Mathis,male
2013,37,32,Juliette,female
2013,73,20,Agathe,female
2013,71,22,Sasha,female
2013,3,74,Lucas,male
2013,34,34,Samuel,male
2013,57,25,Margaux,female
2013,56,25,Lucie,female
2013,55,25,Léonie,female
2013,54,26,Simon,male
2013,51,27,Martin,male
2013,49,29,Victor,male
2013,46,30,Jeanne,female
2013,45,30,Clara,female
2013,42,30,Anna,female
2013,36,33,Zoé,female
2013,33,34,Lina,female
2013,67,23,Mathilde,female
2013,28,37,Antoine,male
2013,27,39,Théo,male
2013,20,44,Jade,female
2013,19,44,Alice,female
2013,18,45,Sacha,male
2013,15,48,Maxime,male
2013,14,49,Ethan,male
2013,11,51,Paul,male
2013,9,54,Inès,female
2013,69,23,Tom,male
2013,66,23,Margot,female
2013,38,32,Maël,male
2013,70,22,Léna,female
2013,23,40,Chloé,female
2013,77,20,Marius,male
2013,63,24,Noah,male
2013,61,25,Valentin,male
2013,59,25,Nina,female
2013,58,25,Mila,female
2013,44,30,Charlotte,female
2013,43,30,Baptiste,male
2013,40,31,Liam,male
2013,35,33,Lou,female
2013,29,37,Gabin,male
2013,26,39,Sarah,female
2013,65,23,Eva,female
2013,8,58,Jules,male
2013,89,18,Pauline,female
2013,81,19,Alexis,male
2013,83,19,Clémence,female
2013,87,18,Lana,female
2013,80,20,Timothée,male
2013,93,17,Noé,male
2013,100,15,Adèle,female
2013,2,74,Louise,female
2013,6,65,Gabriel,male
2012,6,53,Nathan,male
2012,29,36,Alice,female
2012,25,40,Thomas,male
2012,23,43,Inès,female
2012,21,44,Sacha,male
2012,16,47,Hugo,male
2012,15,48,Clément,male
2012,14,50,Raphaël,male
2012,12,50,Chloé,female
2012,11,50,Camille,female
2012,7,52,Enzo,male
2012,95,17,Pauline,female
2012,1,76,Gabriel,male
2012,100,16,Evan,male
2012,99,16,Esteban,male
2012,96,17,Valentine,female
2012,42,31,Simon,male
2012,93,17,Mathilde,female
2012,92,17,Lorenzo,male
2012,90,17,Gabrielle,female
2012,89,18,Lisa,female
2012,86,18,Inaya,female
2012,82,19,Rayan,male
2012,32,36,Nolan,male
2012,74,21,Martin,male
2012,43,30,Anna,female
2012,98,16,Eliott,male
2012,94,17,Noémie,female
2012,75,21,Mathys,male
2012,69,22,Julia,female
2012,64,24,Noah,male
2012,63,24,Maxence,male
2012,62,24,Margaux,female
2012,61,24,Liam,male
2012,54,27,Lily,female
2012,53,27,Léonie,female
2012,52,27,Clara,female
2012,97,16,Adrien,male
2012,44,30,Clémence,female
2012,91,17,Lilou,female
2012,88,18,Lenny,male
2012,87,18,Justine,female
2012,83,19,Robin,male
2012,78,20,Noé,male
2012,72,21,Anaïs,female
2012,65,24,Théo,male
2012,48,30,Noa,male
2012,47,30,Mathis,male
2012,46,30,Mathéo,male
2012,77,20,Louna,female
2012,2,65,Arthur,male
2012,71,22,Margot,female
2012,30,36,Ethan,male
2012,66,23,Léon,male
2012,58,25,Timéo,male
2012,57,25,Gaspard,male
2012,49,29,Axel,male
2012,40,34,Jeanne,female
2012,38,34,Adam,male
2012,37,35,Victor,male
2012,36,35,Maxime,male
2012,35,36,Yanis,male
2012,31,36,Lola,female
2012,28,37,Tom,male
2012,68,22,Ambre,female
2012,26,38,Antoine,male
2012,22,44,Zoé,female
2012,18,47,Léo,male
2012,17,47,Léa,female
2012,13,50,Jules,male
2012,10,51,Paul,male
2012,9,51,Juliette,female
2012,4,59,Lucas,male
2012,3,61,Louis,male
2012,60,24,Léna,female
2012,67,23,Lina,female
2012,34,36,Valentin,male
2012,70,22,Lana,female
2012,24,41,Maël,male
2012,73,21,Lou,female
2012,56,26,Lucie,female
2012,55,27,Samuel,male
2012,51,27,Alexandre,male
2012,50,28,Nina,female
2012,45,30,Eva,female
2012,41,32,Gabin,male
2012,39,34,Charlotte,female
2012,33,36,Sarah,female
2012,27,38,Baptiste,male
2012,59,24,Aaron,male
2012,20,45,Manon,female
2012,84,19,Rose,female
2012,19,46,Jade,female
2012,79,20,Oscar,male
2012,80,19,Agathe,female
2012,81,19,Mila,female
2012,76,20,Charlie,male
2012,85,18,Adèle,female
2012,5,57,Louise,female
2012,8,51,Emma,female
2011,73,21,Samuel,male
2011,89,18,Noémie,female
2011,88,18,Margaux,female
2011,87,18,Léonie,female
2011,80,20,Mathilde,female
2011,79,20,Marius,male
2011,78,20,Luna,female
2011,94,16,Adèle,female
2011,77,20,Lily,female
2011,76,20,Lilou,female
2011,74,21,Simon,male
2011,64,23,Baptiste,male
2011,71,21,Gaspard,male
2011,69,22,Louna,female
2011,67,22,Clémence,female
2011,66,23,Noa,male
2011,60,24,Lisa,female
2011,54,28,Nina,female
2011,53,28,Maxence,male
2011,50,28,Anna,female
2011,46,29,Gabin,male
2011,41,32,Noé,male
2011,99,15,Mélissa,female
2011,97,16,Marie,female
2011,96,16,Lana,female
2011,100,15,Mohamed,male
2011,6,61,Lucas,male
2011,90,18,Pauline,female
2011,82,19,Charlotte,female
2011,62,23,Adam,male
2011,58,26,Margot,female
2011,49,28,Alexis,male
2011,48,28,Aaron,male
2011,44,30,Lucie,female
2011,33,38,Yanis,male
2011,31,40,Thomas,male
2011,28,41,Enzo,male
2011,93,17,Liam,male
2011,83,19,Romain,male
2011,63,23,Alexandre,male
2011,61,24,Timéo,male
2011,56,27,Anaïs,female
2011,43,31,Mathis,male
2011,24,45,Inès,female
2011,21,48,Tom,male
2011,12,55,Chloé,female
2011,11,57,Clément,male
2011,8,59,Léa,female
2011,38,33,Jeanne,female
2011,37,33,Alice,female
2011,36,35,Raphaël,male
2011,51,28,Eva,female
2011,81,20,Océane,female
2011,75,20,Julie,female
2011,72,21,Lou,female
2011,70,21,Esteban,male
2011,68,22,Elisa,female
2011,65,23,Martin,male
2011,59,24,Evan,male
2011,57,27,Nolan,male
2011,55,28,Valentin,male
2011,52,28,Maël,male
2011,47,29,Mathéo,male
2011,85,18,Ambre,female
2011,45,30,Victor,male
2011,42,31,Léna,female
2011,40,33,Romane,female
2011,39,33,Rayan,male
2011,29,40,Antoine,male
2011,27,42,Sacha,male
2011,26,44,Noah,male
2011,17,49,Ethan,male
2011,16,50,Nathan,male
2011,35,35,Clara,female
2011,84,18,Alicia,female
2011,3,63,Louis,male
2011,86,18,Eliott,male
2011,14,52,Camille,female
2011,91,18,Quentin,male
2011,32,38,Lina,female
2011,30,40,Juliette,female
2011,25,45,Jade,female
2011,23,46,Paul,male
2011,22,47,Manon,female
2011,20,48,Sarah,female
2011,19,49,Zoé,female
2011,18,49,Théo,male
2011,15,52,Lola,female
2011,34,35,Axel,male
2011,13,55,Léo,male
2011,2,64,Emma,female
2011,10,58,Jules,male
2011,95,16,Elise,female
2011,98,15,Inaya,female
2011,1,72,Arthur,male
2011,92,17,Julia,female
2011,4,63,Louise,female
2011,5,62,Hugo,male
2011,7,61,Maxime,male
2011,9,58,Gabriel,male
2010,23,44,Mathis,male
2010,92,18,Lenny,male
2010,7,61,Louise,female
2010,5,62,Louis,male
2010,4,65,Chloé,female
2010,100,17,Mila,female
2010,99,17,Mélina,female
2010,98,17,Julien,male
2010,96,18,Tiago,male
2010,95,18,Mohamed,male
2010,15,54,Paul,male
2010,76,20,Julia,female
2010,91,18,Faustine,female
2010,88,18,Benjamin,male
2010,86,19,Quentin,male
2010,85,19,Nina,female
2010,74,21,Victor,male
2010,71,22,Mathilde,female
2010,70,22,Marie,female
2010,67,23,Lisa,female
2010,65,23,Alexandre,male
2010,27,41,Léa,female
2010,63,24,Ambre,female
2010,24,43,Lola,female
